Date,Name,Year,Letterboxd URI,Rating
2020-07-31,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,3
2020-07-31,The Avengers,2012,https://boxd.it/1xFW,3.5
2020-07-31,Spider-Man: Homecoming,2017,https://boxd.it/aboM,3.5
2020-07-31,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2020-07-31,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2020-07-31,Iron Man,2008,https://boxd.it/28dA,3
2020-07-31,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,3.5
2020-07-31,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,2
2020-07-31,Ant-Man,2015,https://boxd.it/3vmW,2
2020-07-31,Split,2016,https://boxd.it/dgSy,3
2020-07-31,Ready Player One,2018,https://boxd.it/aZes,1.5
2020-07-31,Thor,2011,https://boxd.it/1WQU,1.5
2020-07-31,Catch Me If You Can,2002,https://boxd.it/29VS,4
2020-07-31,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,1
2020-07-31,Thor: The Dark World,2013,https://boxd.it/2DqA,1.5
2020-07-31,Bird Box,2018,https://boxd.it/eh1i,1
2020-07-31,Game Night,2018,https://boxd.it/fRtu,3.5
2020-07-31,Justice League,2017,https://boxd.it/4w68,1.5
2020-07-31,In Time,2011,https://boxd.it/FPS,2.5
2020-07-31,Iron Man 3,2013,https://boxd.it/2cBQ,3
2020-07-31,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,1
2020-07-31,Iron Man 2,2010,https://boxd.it/1WZM,2.5
2020-07-31,Doctor Strange,2016,https://boxd.it/8MH8,3
2020-07-31,Mean Girls,2004,https://boxd.it/1VNg,3.5
2020-08-02,(500) Days of Summer,2009,https://boxd.it/1EmM,3.5
2020-08-02,The King's Speech,2010,https://boxd.it/dX0,4
2020-08-02,The Imitation Game,2014,https://boxd.it/6aig,3.5
2020-08-03,The Fighter,2010,https://boxd.it/PP4,3.5
2020-08-04,Blue Valentine,2010,https://boxd.it/MxG,4
2020-08-05,Molly's Game,2017,https://boxd.it/dSl8,3.5
2020-08-08,Enemy,2013,https://boxd.it/5xtO,4
2020-08-09,Burning,2018,https://boxd.it/hHUa,4.5
2020-08-10,Babel,2006,https://boxd.it/292o,2
2020-08-10,Lars and the Real Girl,2007,https://boxd.it/21tG,4
2020-08-10,Life Is Beautiful,1997,https://boxd.it/29Wm,4.5
2020-08-11,This Boy's Life,1993,https://boxd.it/20yg,3
2020-08-13,The Death of Stalin,2017,https://boxd.it/ea9Y,4
2020-08-14,Bright,2017,https://boxd.it/e1H8,2
2020-08-14,Onward,2020,https://boxd.it/io92,3
2020-08-16,Incredibles 2,2018,https://boxd.it/7IPg,3
2020-08-16,Paddington,2014,https://boxd.it/3RKw,4
2020-08-16,A Quiet Place,2018,https://boxd.it/fVJQ,3
2020-08-16,Get Out,2017,https://boxd.it/eOCm,4
2020-08-17,Memento,2000,https://boxd.it/2bcK,4
2020-08-17,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4.5
2020-08-17,American Pie,1999,https://boxd.it/27qy,2.5
2020-08-17,Whiplash,2014,https://boxd.it/7bQA,5
2020-08-19,The Emperor's Club,2002,https://boxd.it/1J2s,2.5
2020-08-21,Colette,2018,https://boxd.it/gdM4,3
2020-08-21,Now You See Me,2013,https://boxd.it/2Bsu,2.5
2020-08-21,Now You See Me 2,2016,https://boxd.it/99fw,2.5
2020-08-21,Silver Linings Playbook,2012,https://boxd.it/2TTo,3
2020-08-21,The Sixth Sense,1999,https://boxd.it/29Js,4
2020-08-22,The Beguiled,2017,https://boxd.it/dZ1k,2.5
2020-08-22,Captain Fantastic,2016,https://boxd.it/b2K2,3
2020-08-22,Inside Out,2015,https://boxd.it/4KHC,4
2020-08-22,First Man,2018,https://boxd.it/cPym,4.5
2020-08-23,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2020-08-23,American Psycho,2000,https://boxd.it/28Vs,3.5
2020-08-24,The Florida Project,2017,https://boxd.it/dMG0,4
2020-08-24,Death Note,2017,https://boxd.it/bOS4,1
2020-08-25,Little Manhattan,2005,https://boxd.it/1JXS,3
2020-08-25,To All the Boys I've Loved Before,2018,https://boxd.it/gHec,3
2020-08-26,Natural Born Killers,1994,https://boxd.it/2aNg,3.5
2020-08-27,The Wrestler,2008,https://boxd.it/1So8,4.5
2020-08-28,Nightcrawler,2014,https://boxd.it/780m,4.5
2020-08-29,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4.5
